Gender,Missing_Income,Income_Category,Missing_Education,Education_Level,Marital_Divorced,Marital_Married,Marital_Single,Marital_Unknown,Card_Blue,Card_Gold,Card_Platinum,Card_Silver,Customer_Age,Credit_Limit,Avg_Utilization_Ratio,Total_Trans_Amt,Dependent_count,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1,Total_Ct_Chng_Q4_Q1
1,0,3,0,2,0,1,0,0,1,0,0,0,45,12691.0,0.061,1144,3,5,1,3,777,1.335,1.625
0,0,1,0,4,0,0,1,0,1,0,0,0,49,8256.0,0.105,1291,5,6,1,2,864,1.541,3.714
1,0,4,0,4,0,1,0,0,1,0,0,0,51,3418.0,0.0,1887,3,4,1,0,0,2.594,2.333
0,0,1,0,2,0,0,0,1,1,0,0,0,40,3313.0,0.76,1171,4,3,4,1,2517,1.405,2.333
1,0,3,0,1,0,1,0,0,1,0,0,0,40,4716.0,0.0,816,3,5,1,0,0,2.175,2.5
1,0,2,0,4,0,1,0,0,1,0,0,0,44,4010.0,0.311,1088,2,3,1,2,1247,1.376,0.846
1,0,5,1,4,0,1,0,0,0,1,0,0,51,34516.0,0.066,1330,4,6,1,3,2264,1.975,0.722
1,0,3,0,2,0,0,0,1,0,0,0,1,32,29081.0,0.048,1538,0,2,2,2,1396,2.204,0.7140000000000001
1,0,3,0,1,0,0,1,0,1,0,0,0,37,22352.0,0.113,1350,3,5,2,0,2517,3.355,1.182
1,0,4,0,4,0,0,1,0,1,0,0,0,48,11656.0,0.14400000000000002,1441,2,6,3,3,1677,1.524,0.882
1,0,5,0,1,0,0,0,1,1,0,0,0,42,6748.0,0.217,1201,5,5,3,2,1467,0.831,0.68
1,0,2,1,4,0,1,0,0,1,0,0,0,65,9095.0,0.174,1314,1,6,2,3,1587,1.433,1.364
1,0,4,0,3,0,0,1,0,1,0,0,0,56,11751.0,0.0,1539,1,3,6,0,0,3.397,3.25
1,0,3,0,4,0,0,0,1,1,0,0,0,35,8547.0,0.195,1311,3,5,1,3,1666,1.163,2.0
0,0,1,0,4,0,1,0,0,1,0,0,0,57,2436.0,0.27899999999999997,1570,2,5,2,2,680,1.19,0.611
1,0,4,1,4,0,0,0,1,1,0,0,0,44,4234.0,0.23,1348,4,5,1,2,972,1.7069999999999999,1.7
1,0,4,0,5,0,0,1,0,1,0,0,0,48,30367.0,0.078,1671,4,6,2,3,2362,1.7080000000000002,0.929
